id,title,author,rating
137,"Hannibal (Hannibal Lecter, #3)",Thomas  Harris,3.82
138,Less Than Zero,Bret Easton Ellis,3.6
139,Cujo,Stephen        King,3.79
140,Fear and Loathing in Las Vegas,Hunter S. Thompson,4.07
141,Schindler’s List,Thomas Keneally,4.34
142,The Glass Castle,Jeannette Walls,4.32
143,Living Dead Girl,Elizabeth Scott,3.78
144,Child of God,Cormac McCarthy,3.83
145,The Stand,Stephen        King,4.35
146,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67
147,Last Exit to Brooklyn,Hubert Selby Jr.,3.92
148,White Oleander,Janet Fitch,
149,The Amityville Horror,Jay Anson,3.83
150,The End of Alice,A.M. Homes,3.48
151,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,4.01
152,Story of the Eye,Georges Bataille,3.65
153,Going Rogue: An American Life,Sarah Palin,3.3
154,The Jungle,Upton Sinclair,3.77
155,The Trial,Franz Kafka,3.95
156,The Virgin Suicides,Jeffrey Eugenides,3.79
157,Crash,J.G. Ballard,3.59
158,Bastard Out of Carolina,Dorothy Allison,4.14
159,Tampa,Alissa Nutting,3.35
160,The Bell Jar,Sylvia Plath,4.06
161,When Rabbit Howls,Truddi Chase,4.05
162,Notes from Underground,Fyodor Dostoevsky,4.18
163,The Tell-Tale Heart,Edgar Allan Poe,4.24
164,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard   Preston,4.15
165,In the Miso Soup,Ryū Murakami,3.62
166,The Complete Maus,Art Spiegelman,4.58
167,"America by Heart: Reflections on Family, Faith, and Flag",Sarah Palin,3.6
168,Cows,Matthew Stokoe,2.75
169,Out,Natsuo Kirino,3.94
170,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1
171,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,4.01
172,Tess of the D’Urbervilles,Thomas Hardy,3.84
173,A Little Life,Hanya Yanagihara,4.3
174,Lunar Park,Bret Easton Ellis,3.65
175,Thirteen Reasons Why,Jay Asher,3.84
176,The Grapes of Wrath,John Steinbeck,4.02
177,Choke,Chuck Palahniuk,3.71
178,Psycho Save Us,Chad Huskins,3.94
179,Guts,Chuck Palahniuk,3.87
180,"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,4.24
181,"Rosemary’s Baby (Rosemary's Baby, #1)",Ira Levin,4.05
182,Alice in Wonderland & Through the Looking Glass,Lewis Carroll,4.06
183,The Rape of Nanking: The Forgotten Holocaust of World War II,Iris Chang,4.24
184,Speak,Laurie Halse Anderson,4.05
185,Factotum,Charles Bukowski,3.92
186,"Skagboys (Mark Renton, #1)",Irvine Welsh,4.06
187,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,3.98
188,The Devil in the White City,Erik Larson,
189,"Histoire d'O | Story of O (Story of O, #1)",Pauline Réage,3.3
190,To Kill a Mockingbird,Harper Lee,4.26
191,Sophie’s Choice,William Styron,4.17
192,We Have Always Lived in the Castle,Shirley Jackson,3.92
193,The Ruins,Scott        Smith,3.68
194,I Am Legend and Other Stories,Richard Matheson,
195,Tender Is the Flesh,Agustina Bazterrica,3.78
196,Snuff,Chuck Palahniuk,3.22
197,As I Lay Dying,William Faulkner,3.72
198,Zombie,Joyce Carol Oates,3.32
199,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.34
200,Running with Scissors,Augusten Burroughs,3.77
201,The Room,Hubert Selby Jr.,3.7
202,My Sister’s Keeper,Jodi Picoult,4.1
203,The Island of Dr. Moreau,H.G. Wells,3.73
204,The Bluest Eye,Toni Morrison,4.12
205,Love You Forever,Robert Munsch,4.38
206,Glamorama,Bret Easton Ellis,3.54
207,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44
208,The Lottery and Other Stories,Shirley Jackson,4.02
209,Rant: An Oral Biography of Buster Casey,Chuck Palahniuk,3.84
210,Lost in Yaba: Down and Out in Laos,Walt Gleeson,3.86
211,Filth,Irvine Welsh,3.81
212,V for Vendetta,Alan             Moore,4.26
213,Lullaby,Chuck Palahniuk,3.74
214,Flowers for Algernon,Daniel Keyes,4.22
215,"Petals on the Wind (Dollanganger, #2)",V.C. Andrews,3.82
216,Columbine,Dave Cullen,4.29
217,Down and Rising,Rohith S. Katbamna,4.7
218,The Tin Drum,Günter Grass,3.95
219,Under the Skin,Michel Faber,3.75
220,The War of the Worlds,H.G. Wells,3.83
221,Different Seasons,Stephen        King,4.36
222,Hiroshima,John Hersey,4.04
223,One Hundred Years of Solitude,Gabriel García Márquez,4.12
224,The Cement Garden,Ian McEwan,3.54
225,Heart of Darkness,Joseph Conrad,3.43
226,Cat’s Cradle,Kurt Vonnegut Jr.,4.15
227,Alive: The Story of the Andes Survivors,Piers Paul Read,4.14
228,"New Moon (The Twilight Saga, #2)",Stephenie Meyer,3.61
229,The Picture of Dorian Gray,Oscar Wilde,4.13
230,East of Eden,John Steinbeck,4.42
231,Dracula,Bram Stoker,4.02
232,The Wind-Up Bird Chronicle,Haruki Murakami,4.14
233,Kafka on the Shore,Haruki Murakami,4.12
234,The Piano Teacher,Elfriede Jelinek,3.6
235,All Quiet on the Western Front,Erich Maria Remarque,4.09
236,The Unbearable Lightness of Being,Milan Kundera,4.11
237,"Off Season (Dead River, #1)",Jack Ketchum,3.76
238,The Reader,Bernhard Schlink,3.78
239,Mysterious Skin,Scott Heim,4.15
240,On the Beach,Nevil Shute,3.97
241,The 120 Days of Sodom and Other Writings,Marquis de Sade,3.44
242,The Secret History,Donna Tartt,4.17
243,From Hell,Alan             Moore,4.19
244,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83
245,"My Sweet Audrina (Audrina, #1)",V.C. Andrews,3.87
246,"The Numbing (Whiteout, #3)",Flint Maxwell,4.15
247,The Chestnut Man,Søren Sveistrup,4.21
248,Not Okay,Brett Axel,4.46
249,The Fall of the House of Usher and Other Tales,Edgar Allan Poe,4.17
250,"Girl, Interrupted",Susanna Kaysen,3.94
251,The Demon,Hubert Selby Jr.,3.9
252,The Killer Inside Me,Jim Thompson,3.86
253,Night Shift,Stephen        King,4.04
254,And Then There Were None,Agatha Christie,4.28
255,"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,3.95
256,The Haunting of Hill House,Shirley Jackson,3.82
257,A Million Little Pieces,James Frey,3.69
258,"The Claiming of Sleeping Beauty (Sleeping Beauty, #1)",A.N. Roquelaure,3.22
259,"The City of Light (Whiteout, #4)",Flint Maxwell,4.2
260,I Have No Mouth & I Must Scream,Harlan Ellison,3.9
261,The Troop,Nick Cutter,3.84
262,Rose Madder,Stephen        King,3.75
263,Still Alice,Lisa Genova,4.32
264,Hamlet (The Annotated Shakespeare),William Shakespeare,4.02
265,Into the Darkest Corner,Elizabeth Haynes,4.07
266,Intercepts,T.J. Payne,4.11
267,Hogg,Samuel R. Delany,2.96
268,Survivor Song,Paul Tremblay,3.62
269,The Plague,Albert Camus,4.02
270,Night of the Mannequins,Stephen Graham Jones,3.32
271,Replay,Ken Grimwood,4.15
272,Unspeakable Things,Jess Lourey,3.8
273,If I Did It: Confessions of the Killer,O.J. Simpson,3.31
274,’Salem’s Lot,Stephen        King,4.1
275,"Books of Blood: Volumes One to Three (Books of Blood, #1-3)",Clive Barker,4.19
276,The Cabin at the End of the World,Paul Tremblay,3.33
277,Identical,Ellen Hopkins,4.29
278,Atlas Shrugged,Ayn Rand,3.69
279,The Giving Tree,Shel Silverstein,4.38
280,"Full Dark, No Stars",Stephen        King,4.08
281,Sour Candy,Kealan Patrick Burke,3.63
282,Disgrace,J.M. Coetzee,3.85
283,The Sluts,Dennis Cooper,3.78
284,"Bird Box (Bird Box, #1)",Josh Malerman,4.04
285,Gravity’s Rainbow,Thomas Pynchon,4.01
286,Stanley Kubrick's A Clockwork Orange,Stanley Kubrick,4.24
287,The World According to Garp,John Irving,4.1
288,"The Angel of Vengeance (Glimpse into Hell, #1)",Wade H. Garrett,4.04
289,"The Host (The Host, #1)",Stephenie Meyer,3.86
290,A Simple Favor,Darcey Bell,3.28
291,The Outsiders,S.E. Hinton,4.14
292,"Darkly Dreaming Dexter (Dexter, #1)",Jeff Lindsay,3.9
293,The Devil All the Time,Donald Ray Pollock,4.14
294,"King Leopold's Ghost: A Story of Greed, Terror, and Heroism in Colonial Africa",Adam Hochschild,4.18
295,The Lottery,Shirley Jackson,4.05
296,"If There Be Thorns (Dollanganger, #3)",V.C. Andrews,3.78
297,The Crucible,Arthur Miller,3.61
298,Forbidden,Tabitha Suzuma,3.96
299,Diary,Chuck Palahniuk,3.65
300,Where the Wild Things Are,Maurice Sendak,4.25
301,Under the Dome,Stephen        King,3.93
302,Coin Locker Babies,Ryū Murakami,3.79
303,No Country for Old Men,Cormac McCarthy,4.16
304,High-Rise,J.G. Ballard,3.61
305,Let's Go Play at the Adams',Mendal W. Johnson,3.41
306,The Dirty Truth,T.J. Anderson,4.31
307,The Turn of the Screw,Henry James,3.39
308,And the Ass Saw the Angel,Nick Cave,3.85
309,The Complete Grimm's Fairy Tales,Jacob Grimm,4.24
310,Heart of a Dog,Mikhail Bulgakov,4.09
311,"The Snow (Whiteout, #1)",Flint Maxwell,3.73
312,The Cadaver Factory,Kenneth Jarrett Singleton,4.4
313,The Dark Half,Stephen        King,3.81
314,Atonement,Ian McEwan,3.94
315,"The Dark Winter (Whiteout, #2)",Flint Maxwell,4.02
316,Desperation,Stephen        King,3.86
317,Thinner,Richard  Bachman,3.77
318,The Scarlet Letter,Nathaniel Hawthorne,3.44
319,The Fifth Child,Doris Lessing,3.63
320,Infidel,Ayaan Hirsi Ali,4.2
321,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,3.53
322,A Disturbed Girl's Guide to Curing Boredom,James   Howell,3.72
323,Macbeth,William Shakespeare,3.89
324,Death of a Salesman,Arthur Miller,3.58
325,Mein Kampf,Adolf Hitler,3.18
326,Angela's Ashes: A Memoir of a Childhood,Frank McCourt,4.15
327,"Porno (Mark Renton, #3)",Irvine Welsh,3.84
328,The Dice Man,Luke Rhinehart,3.55
329,Jude the Obscure,Thomas Hardy,3.83
330,Frisk,Dennis Cooper,3.66
331,"The Millennium Trilogy (Millennium Trilogy, #1-3)",Stieg Larsson,4.47
332,The Wave,Todd Strasser,3.61
333,Sarah's Key,Tatiana de Rosnay,4.18
334,Insomnia,Stephen        King,3.84
335,Little Bee,Chris Cleave,3.72
336,A Disturbed Girl's Redemption,James   Howell,4.49
337,The Poisonwood Bible,Barbara Kingsolver,4.1
338,A Stolen Life,Jaycee Dugard,3.96
339,The Rules of Attraction,Bret Easton Ellis,3.72
340,Stiff: The Curious Lives of Human Cadavers,Mary Roach,4.07
341,Audition,Ryū Murakami,3.5
342,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.83
343,Ulysses,James Joyce,3.76
344,The Death of Bunny Munro,Nick Cave,3.44
345,"Crank (Crank, #1)",Ellen Hopkins,4.16
346,Middlesex,Jeffrey Eugenides,4.04
347,Cruddy,Lynda Barry,4.16
348,The White Hotel,D.M. Thomas,3.84
349,A Scanner Darkly,Philip K. Dick,4.03
350,Ubik,Philip K. Dick,4.11
351,"The Sparrow (The Sparrow, #1)",Mary Doria Russell,4.14
352,Dark Rooms,Lili Anolik,3.14
353,Money,Martin Amis,3.7
354,Moon Palace,Paul Auster,3.98
355,The Bad Seed,William March,4.01
356,Survivor,Chuck Palahniuk,3.93
357,"Splatterpunk: An Extreme Horror Novel (A Glimpse into Hell, #3)",Wade H. Garrett,4.42
358,The Devil of Nanking,Mo Hayder,3.92
359,"The Blade Artist (Mark Renton, #4)",Irvine Welsh,3.83
360,Almost Transparent Blue,Ryū Murakami,3.29
361,Prozac Nation,Elizabeth Wurtzel,3.63
362,Needful Things,Stephen        King,3.98
363,Survivor,J.F. Gonzalez,3.8
364,4 3 2 1,Paul Auster,3.97
365,Save Yourself,Kelly Braffet,3.48
366,Solaris,Stanisław Lem,3.99
367,Mommie Dearest,Christina Crawford,3.67
368,Make Room! Make Room!,Harry Harrison,3.71
369,The Master and Margarita,Mikhail Bulgakov,4.29
370,Apt Pupil,Stephen        King,3.92
371,"Psycho (Psycho, #1)",Robert Bloch,4.13
372,"The Descent (Descent, #1)",Jeff Long,3.94
373,"The Angel of Death: An Extreme Horror Novel (A Glimpse into Hell, #2)",Wade H. Garrett,4.51
374,The Elementary Particles,Michel Houellebecq,3.8
375,Pygmy,Chuck Palahniuk,2.99
376,Nobody Move,Denis Johnson,3.35
377,Junky,William S. Burroughs,3.85
378,Human Cruelty,Wade H. Garrett,4.32
379,The Running Man,Richard  Bachman,3.9
380,The Little Match Girl,Hans Christian Andersen,4.1
381,The Rum Diary,Hunter S. Thompson,3.85
382,The Comfort of Strangers,Ian McEwan,3.39
383,The Fall,Albert Camus,4.04
384,Imperial Bedrooms,Bret Easton Ellis,3.2
385,The Information,Martin Amis,3.61
386,"Book of Mormon, Doctrine and Covenants, Pearl of Great Price",The Church of Jesus Christ of Latter-day Saints,4.36
387,The Marbled Swarm,Dennis Cooper,3.47
388,Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,4.26
389,Piercing,Ryū Murakami,3.69
390,Life of Pi,Yann Martel,3.94
391,"Gone (Gone, #1)",Michael  Grant,3.87
392,"Memnoch the Devil (The Vampire Chronicles, #5)",Anne Rice,3.76
393,Blood and Guts in High School,Kathy Acker,3.46
394,The Mist,Stephen        King,3.94
395,"The New York Trilogy (New York Trilogy, #1-3)",Paul Auster,3.87
396,Meat,Joseph D'Lacey,3.87
397,The Book Thief,Markus Zusak,4.39
398,The Third Policeman,Flann O'Brien,3.97
399,"Tropic of Cancer (Tropic, #1)",Henry Miller,3.66
400,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,4.39
401,Coraline,Neil Gaiman,4.13
402,Nira/Sussa,Julian Darius,3.77
403,Island,Aldous Huxley,3.85
404,Cell,Stephen        King,3.66
405,The Book of Illusions,Paul Auster,3.9
406,Native Son,Richard Wright,4.03
407,Pale Fire,Vladimir Nabokov,4.17
408,A Disturbed Girl Implodes,James   Howell,4.4
409,The Memory Keeper's Daughter,Kim Edwards,3.7
410,"Ring (Ring, #1)",Kōji Suzuki,3.79
411,The Name of the Rose,Umberto Eco,4.14
412,My Lobotomy: A Memoir,Howard Dully,3.75
413,Women,Charles Bukowski,3.81
414,Sold,Patricia McCormick,4.23
415,Train Dreams,Denis Johnson,3.89
416,Wintergirls,Laurie Halse Anderson,3.96
417,The Gargoyle,Andrew  Davidson,3.97
418,القرآن الكريم,Anonymous,4.38
419,Intensity,Dean Koontz,4.04
420,2666,Roberto Bolaño,4.21
421,Ghost Story,Peter Straub,3.92
422,Darkness at Noon,Arthur Koestler,4.11
423,The Heart Is Deceitful Above All Things: Stories,J.T. LeRoy,3.63
424,"Seeds of Yesterday (Dollanganger, #4)",V.C. Andrews,3.84
425,The Grifters,Jim Thompson,3.93
426,"Eclipse (The Twilight Saga, #3)",Stephenie Meyer,3.73
427,Fall on Your Knees,Ann-Marie MacDonald,3.97
428,Horns,Joe Hill,3.93
429,The Drowned World,J.G. Ballard,3.48
430,The Children Act,Ian McEwan,3.73
431,"Tiger, Tiger",Margaux Fragoso,3.75
432,The Perks of Being a Wallflower,Stephen Chbosky,4.23
433,On the Road,Jack Kerouac,3.61
434,Nutshell,Ian McEwan,3.68
435,"The Reckoning: An Extreme Horror Novel (A Glimpse into Hell, # 5)",Wade H. Garrett,4.44
436,Daddy Love,Joyce Carol Oates,3.44
437,Memoirs of a Geisha,Arthur Golden,4.16
438,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.83
439,Marabou Stork Nightmares,Irvine Welsh,3.92
440,Madame Bovary,Gustave Flaubert,3.7
441,"The Rats (Rats, #1)",James Herbert,3.92
442,Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97
443,The Sailor Who Fell from Grace with the Sea,Yukio Mishima,3.84
444,The Stepford Wives,Ira Levin,3.86
445,My Dark Vanessa,Kate Elizabeth Russell,4.1
446,"The Summer I Died (The Roger Huntington Saga, #1)",Ryan C. Thomas,3.88
447,Filthy Movie – The Most Sadistic Short Story on the Market,Wade H. Garrett,3.55
448,"American Gods (American Gods, #1)",Neil Gaiman,4.11
449,House of Sand and Fog,Andre Dubus III,3.86
450,The End of Everything,Megan Abbott,3.35
451,The Hotel New Hampshire,John Irving,3.93
452,Queer,William S. Burroughs,3.54
453,Concrete Island,J.G. Ballard,3.68
454,Invisible,Paul Auster,3.74
455,The Pearl,John Steinbeck,3.55
456,The Bedroom Secrets of the Master Chefs,Irvine Welsh,3.54
457,"The complete “A Glimpse into Hell” series - 6 books, 215 chapters, 1800 pages, 650K words of pure gore",Wade H. Garrett,4.59
458,A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,4.16
459,"The Gulag Archipelago: An Experiment in Literary Investigation, Volume 1",Aleksandr Solzhenitsyn,4.37
460,Wir Kinder vom Bahnhof Zoo,Christiane V. Felscherinow,4.35
461,12 Years a Slave,Solomon Northup,4.22
462,Towelhead,Alicia Erian,3.68
463,A Simple Plan,Scott        Smith,3.91
464,The Kindly Ones,Jonathan Littell,4.02
465,Hell's Angels,Hunter S. Thompson,3.98
466,"Divergent (Divergent, #1)",Veronica Roth,4.14
467,Dead Men's Trousers,Irvine Welsh,4.18
468,The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,4.08
469,Nausea,Jean-Paul Sartre,3.94
470,"Infected (Infected, #1)",Scott Sigler,3.83
471,Falling Leaves,Adeline Yen Mah,3.91
472,Glue,Irvine Welsh,3.9
473,Rage,Richard  Bachman,3.72
474,The Soft Machine (The Nova Trilogy #1),William S. Burroughs,3.44
475,And Then Run,Eric Hublot,3.49
476,"The Butterfly Garden  (The Collector, #1)",Dot Hutchison,4.09
477,Rape: A Love Story,Joyce Carol Oates,3.64
478,Dracula Usborne Classics Retold,Mike Stocks,4.06
479,Midnight Sun [2008 Draft],Stephenie Meyer,4.01
480,The Doors of Perception & Heaven and Hell,Aldous Huxley,3.91
481,"Books of Blood, Volumes Four to Six (Books of Blood, #4-6)",Clive Barker,4.28
482,She’s Come Undone,Wally Lamb,3.91
483,Hunger,Knut Hamsun,4.05
484,A Head Full of Ghosts,Paul Tremblay,3.79
485,Tree of Smoke,Denis Johnson,3.6
486,The Ice Man: Confessions of a Mafia Contract Killer,Philip Carlo,4.15
487,Invisible Cities,Italo Calvino,4.11
488,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03
489,We Were Liars,E. Lockhart,3.66
490,The Devil's Missal,Cathy Dobson,4.2
491,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,Philip Gourevitch,4.22
492,Jesus’ Son,Denis Johnson,4.12
493,The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,4.22
494,Tales of Ordinary Madness,Charles Bukowski,3.85
495,Adjustment Day,Chuck Palahniuk,3.2
496,"This Way for the Gas, Ladies and Gentlemen",Tadeusz Borowski,4.12
497,"Faust, First Part",Johann Wolfgang von Goethe,3.86
498,Clown Girl,Monica Drake,3.49
499,If on a Winter’s Night a Traveler,Italo Calvino,4.03
500,The Day of the Triffids,John Wyndham,4.01
501,Breakfast of Champions,Kurt Vonnegut Jr.,4.07
502,Animal Farm / 1984,George Orwell,4.3
503,"Crime (Ray Lennox, #1)",Irvine Welsh,3.65
504,Something Wicked This Way Comes,Ray Bradbury,3.9
505,Stranger in a Strange Land,Robert A. Heinlein,3.92
506,Mister B. Gone,Clive Barker,3.35
507,The Castle,Franz Kafka,3.93
508,The Unwords,Non Nomen,3.66
509,Things Have Gotten Worse Since We Last Spoke,Eric LaRocca,2.95
510,The Bachman Books,Richard  Bachman,4.15
511,Novel with Cocaine,M. Ageyev,3.84
512,Time's Arrow,Martin Amis,3.76
513,Ham on Rye,Charles Bukowski,4.14
514,Invisible Man,Ralph Ellison,3.92
515,The Minds of Billy Milligan,Daniel Keyes,4.28
516,Eyewitness Auschwitz: Three Years in the Gas Chambers,Filip Müller,4.28
517,Howl and Other Poems,Allen Ginsberg,4.13
518,I'm Thinking of Ending Things,Iain Reid,3.54
519,The Hellbound Heart,Clive Barker,4.08
520,Penpal,Dathan Auerbach,3.86
521,What Is the What,Dave Eggers,4.14
522,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.12
523,"One Second After (After, #1)",William R. Forstchen,3.98
524,The Consumer,Michael Gira,3.71
525,"The Fourth Monkey (4MK Thriller, #1)",J.D. Barker,4.26
