title,author,rating
The Couple Next Door,Shari Lapena,3.81
Johnny Got His Gun,Dalton Trumbo,4.2
The Yellow Wall-Paper,Charlotte Perkins Gilman,4.08
Home Before Dark,Riley Sager,4.06
Requiem for a Dream,Hubert Selby Jr.,4.11
Go Ask Alice,Beatrice Sparks,3.74
Carrie,Stephen        King,3.99
Gray After Dark,Noelle W. Ihli,4.24
Battle Royale,Koushun Takami,4.26
"Trainspotting (Mark Renton, #2)",Irvine Welsh,4.11
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.2
Blindness,José Saramago,4.18
"The Giver (The Giver, #1)",Lois Lowry,4.12
Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,Flora Rheta Schreiber,3.99
The Roommate,Kiersten Modglin,3.85
Those Empty Eyes,Charlie Donlea,4.17
The Boy in the Striped Pajamas,John Boyne,4.16
Push,Sapphire,3.87
"Think Twice (Myron Bolitar, #12)",Harlan Coben,4.27
The Girl Who Played With Fire (Millennium #2),Stieg Larsson,4.26
The Club,Ellery Lloyd,3.29
What Lies in the Woods,Kate Alice Marshall,3.95
Naked Lunch,William S. Burroughs,3.46
Ask for Andrea,Noelle W. Ihli,4.09
No One Can Know,Kate Alice Marshall,3.67
The Shards,Bret Easton Ellis,
"Beloved (Beloved Trilogy, #1)",Toni Morrison,3.97
The Collector,John Fowles,3.97
"Not Forever, But For Now",Chuck Palahniuk,3.08
Look Closer,David Ellis,4.19
Wuthering Heights,Emily Brontë,3.9
The Color Purple,Alice Walker,4.27
The Long Walk,Richard  Bachman,4.07
"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,3.75
"Captive in the Dark (The Dark Duet, #1)",C.J. Roberts,3.94
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.88
The Girl Who Was Taken,Charlie Donlea,4.19
The Stranger,Albert Camus,4.03
Head Like a Hole,Andrew Van Wey,3.86
Geek Love,Katherine Dunn,3.95
Invisible Monsters,Chuck Palahniuk,
Crime and Punishment,Fyodor Dostoevsky,4.28
"Consequences (Consequences, #1)",Aleatha Romig,3.92
Keep It in the Family,John Marrs,4.08
The Drowning Woman,Robyn Harding,4.05
The Catcher in the Rye,J.D. Salinger,3.8
Gerald's Game,Stephen        King,3.58
"It Ain't Me, Babe (Hades Hangmen, #1)",Tillie Cole,4.04
"Tears of Tess (Monsters in the Dark, #1)",Pepper Winters,
"Corrupt (Devil's Night, #1)",Penelope Douglas,3.8
A Winter Grave,Peter  May,4.07
"Souls Unfractured (Hades Hangmen, #3)",Tillie Cole,4.41
Big Little Lies,Liane Moriarty,4.31
"The Girl in the Eagle's Talons (Millennium, #7)",Karin Smirnoff,3.43
"Truth (Consequences, #2)",Aleatha Romig,4.34
"Killing Sarai (In the Company of Killers, #1)",J.A. Redmerski,4.08
Mystic River,Dennis Lehane,4.17
"Unwind (Unwind, #1)",Neal Shusterman,4.17
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.1
The Painted Bird,Jerzy Kosiński,3.91
"You (You, #1)",Caroline Kepnes,3.96
None of This Is True,Lisa Jewell,4.1
Before I Go to Sleep,S.J. Watson,3.9
Lock Every Door,Riley Sager,3.89
The Girl on the Train,Paula Hawkins,3.96
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.66
Let the Right One In,John Ajvide Lindqvist,4.04
"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,4.22
"The Woman in Cabin 10 (Lo Blacklock, #1)",Ruth Ware,3.73
Coming Out Straight: Understanding and Healing Homosexuality,Richard Cohen,1.99
Never Lie,Freida McFadden,4.09
The Woman in the Window,A.J. Finn,3.95
Exquisite Corpse,Poppy Z. Brite,3.79
The Paris Apartment,Lucy Foley,3.65
"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,3.96
The Stranger Beside Me: Ted Bundy: The Shocking Inside Story,Ann Rule,4.14
A Thousand Splendid Suns,Khaled Hosseini,4.44
"Hannibal (Hannibal Lecter, #3)",Thomas  Harris,3.82
Less Than Zero,Bret Easton Ellis,3.6
Cujo,Stephen        King,3.79
Fear and Loathing in Las Vegas,Hunter S. Thompson,4.07
Schindler’s List,Thomas Keneally,4.34
The Glass Castle,Jeannette Walls,4.32
Living Dead Girl,Elizabeth Scott,3.78
Child of God,Cormac McCarthy,3.83
The Stand,Stephen        King,4.35
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67
Last Exit to Brooklyn,Hubert Selby Jr.,3.92
White Oleander,Janet Fitch,
The Amityville Horror,Jay Anson,3.83
The End of Alice,A.M. Homes,3.48
"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,4.01
Story of the Eye,Georges Bataille,3.65
Going Rogue: An American Life,Sarah Palin,3.3
The Jungle,Upton Sinclair,3.77
The Trial,Franz Kafka,3.95
The Virgin Suicides,Jeffrey Eugenides,3.79
Crash,J.G. Ballard,3.59
Bastard Out of Carolina,Dorothy Allison,4.14
Tampa,Alissa Nutting,3.35
The Bell Jar,Sylvia Plath,4.06
When Rabbit Howls,Truddi Chase,4.05
Notes from Underground,Fyodor Dostoevsky,4.18
The Tell-Tale Heart,Edgar Allan Poe,4.24
The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard   Preston,4.15
In the Miso Soup,Ryū Murakami,3.62
The Complete Maus,Art Spiegelman,4.58
"America by Heart: Reflections on Family, Faith, and Flag",Sarah Palin,3.6
Cows,Matthew Stokoe,2.75
Out,Natsuo Kirino,3.94
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,4.01
Tess of the D’Urbervilles,Thomas Hardy,3.84
A Little Life,Hanya Yanagihara,4.3
Lunar Park,Bret Easton Ellis,3.65
Thirteen Reasons Why,Jay Asher,3.84
The Grapes of Wrath,John Steinbeck,4.02
Choke,Chuck Palahniuk,3.71
Psycho Save Us,Chad Huskins,3.94
Guts,Chuck Palahniuk,3.87
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,4.24
"Rosemary’s Baby (Rosemary's Baby, #1)",Ira Levin,4.05
Alice in Wonderland & Through the Looking Glass,Lewis Carroll,4.06
The Rape of Nanking: The Forgotten Holocaust of World War II,Iris Chang,4.24
Speak,Laurie Halse Anderson,4.05
Factotum,Charles Bukowski,3.92
"Skagboys (Mark Renton, #1)",Irvine Welsh,4.06
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,3.98
The Devil in the White City,Erik Larson,
"Histoire d'O | Story of O (Story of O, #1)",Pauline Réage,3.3
To Kill a Mockingbird,Harper Lee,4.26
Sophie’s Choice,William Styron,4.17
We Have Always Lived in the Castle,Shirley Jackson,3.92
The Ruins,Scott        Smith,3.68
I Am Legend and Other Stories,Richard Matheson,
Tender Is the Flesh,Agustina Bazterrica,3.78
Snuff,Chuck Palahniuk,3.22
As I Lay Dying,William Faulkner,3.72
Zombie,Joyce Carol Oates,3.32
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.34
Running with Scissors,Augusten Burroughs,3.77
The Room,Hubert Selby Jr.,3.7
My Sister’s Keeper,Jodi Picoult,4.1
The Island of Dr. Moreau,H.G. Wells,3.73
The Bluest Eye,Toni Morrison,4.12
Love You Forever,Robert Munsch,4.38
Glamorama,Bret Easton Ellis,3.54
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44
The Lottery and Other Stories,Shirley Jackson,4.02
Rant: An Oral Biography of Buster Casey,Chuck Palahniuk,3.84
Lost in Yaba: Down and Out in Laos,Walt Gleeson,3.86
Filth,Irvine Welsh,3.81
V for Vendetta,Alan             Moore,4.26
Lullaby,Chuck Palahniuk,3.74
Flowers for Algernon,Daniel Keyes,4.22
"Petals on the Wind (Dollanganger, #2)",V.C. Andrews,3.82
Columbine,Dave Cullen,4.29
Down and Rising,Rohith S. Katbamna,4.7
The Tin Drum,Günter Grass,3.95
Under the Skin,Michel Faber,3.75
The War of the Worlds,H.G. Wells,3.83
Different Seasons,Stephen        King,4.36
Hiroshima,John Hersey,4.04
One Hundred Years of Solitude,Gabriel García Márquez,4.12
The Cement Garden,Ian McEwan,3.54
Heart of Darkness,Joseph Conrad,3.43
Cat’s Cradle,Kurt Vonnegut Jr.,4.15
Alive: The Story of the Andes Survivors,Piers Paul Read,4.14
"New Moon (The Twilight Saga, #2)",Stephenie Meyer,3.61
The Picture of Dorian Gray,Oscar Wilde,4.13
East of Eden,John Steinbeck,4.42
Dracula,Bram Stoker,4.02
The Wind-Up Bird Chronicle,Haruki Murakami,4.14
Kafka on the Shore,Haruki Murakami,4.12
The Piano Teacher,Elfriede Jelinek,3.6
All Quiet on the Western Front,Erich Maria Remarque,4.09
The Unbearable Lightness of Being,Milan Kundera,4.11
"Off Season (Dead River, #1)",Jack Ketchum,3.76
The Reader,Bernhard Schlink,3.78
Mysterious Skin,Scott Heim,4.15
On the Beach,Nevil Shute,3.97
The 120 Days of Sodom and Other Writings,Marquis de Sade,3.44
The Secret History,Donna Tartt,4.17
From Hell,Alan             Moore,4.19
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83
"My Sweet Audrina (Audrina, #1)",V.C. Andrews,3.87
"The Numbing (Whiteout, #3)",Flint Maxwell,4.15
The Chestnut Man,Søren Sveistrup,4.21
Not Okay,Brett Axel,4.46
The Fall of the House of Usher and Other Tales,Edgar Allan Poe,4.17
"Girl, Interrupted",Susanna Kaysen,3.94
The Demon,Hubert Selby Jr.,3.9
The Killer Inside Me,Jim Thompson,3.86
Night Shift,Stephen        King,4.04
And Then There Were None,Agatha Christie,4.28
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,3.95
The Haunting of Hill House,Shirley Jackson,3.82
A Million Little Pieces,James Frey,3.69
"The Claiming of Sleeping Beauty (Sleeping Beauty, #1)",A.N. Roquelaure,3.22
"The City of Light (Whiteout, #4)",Flint Maxwell,4.2
I Have No Mouth & I Must Scream,Harlan Ellison,3.9
The Troop,Nick Cutter,3.84
Rose Madder,Stephen        King,3.75
Still Alice,Lisa Genova,4.32
Hamlet (The Annotated Shakespeare),William Shakespeare,4.02
Into the Darkest Corner,Elizabeth Haynes,4.07
Intercepts,T.J. Payne,4.11
Hogg,Samuel R. Delany,2.96
Survivor Song,Paul Tremblay,3.62
The Plague,Albert Camus,4.02
Night of the Mannequins,Stephen Graham Jones,3.32
Replay,Ken Grimwood,4.15
Unspeakable Things,Jess Lourey,3.8
If I Did It: Confessions of the Killer,O.J. Simpson,3.31
’Salem’s Lot,Stephen        King,4.1
"Books of Blood: Volumes One to Three (Books of Blood, #1-3)",Clive Barker,4.19
The Cabin at the End of the World,Paul Tremblay,3.33
Identical,Ellen Hopkins,4.29
Atlas Shrugged,Ayn Rand,3.69
The Giving Tree,Shel Silverstein,4.38
"Full Dark, No Stars",Stephen        King,4.08
Sour Candy,Kealan Patrick Burke,3.63
Disgrace,J.M. Coetzee,3.85
The Sluts,Dennis Cooper,3.78
"Bird Box (Bird Box, #1)",Josh Malerman,4.04
Gravity’s Rainbow,Thomas Pynchon,4.01
Stanley Kubrick's A Clockwork Orange,Stanley Kubrick,4.24
The World According to Garp,John Irving,4.1
"The Angel of Vengeance (Glimpse into Hell, #1)",Wade H. Garrett,4.04
"The Host (The Host, #1)",Stephenie Meyer,3.86
A Simple Favor,Darcey Bell,3.28
The Outsiders,S.E. Hinton,4.14
"Darkly Dreaming Dexter (Dexter, #1)",Jeff Lindsay,3.9
The Devil All the Time,Donald Ray Pollock,4.14
"King Leopold's Ghost: A Story of Greed, Terror, and Heroism in Colonial Africa",Adam Hochschild,4.18
The Lottery,Shirley Jackson,4.05
"If There Be Thorns (Dollanganger, #3)",V.C. Andrews,3.78
The Crucible,Arthur Miller,3.61
Forbidden,Tabitha Suzuma,3.96
Diary,Chuck Palahniuk,3.65
Where the Wild Things Are,Maurice Sendak,4.25
Under the Dome,Stephen        King,3.93
Coin Locker Babies,Ryū Murakami,3.79
No Country for Old Men,Cormac McCarthy,4.16
High-Rise,J.G. Ballard,3.61
Let's Go Play at the Adams',Mendal W. Johnson,3.41
The Dirty Truth,T.J. Anderson,4.31
The Turn of the Screw,Henry James,3.39
And the Ass Saw the Angel,Nick Cave,3.85
The Complete Grimm's Fairy Tales,Jacob Grimm,4.24
Heart of a Dog,Mikhail Bulgakov,4.09
"The Snow (Whiteout, #1)",Flint Maxwell,3.73
The Cadaver Factory,Kenneth Jarrett Singleton,4.4
The Dark Half,Stephen        King,3.81
Atonement,Ian McEwan,3.94
"The Dark Winter (Whiteout, #2)",Flint Maxwell,4.02
Desperation,Stephen        King,3.86
Thinner,Richard  Bachman,3.77
The Scarlet Letter,Nathaniel Hawthorne,3.44
The Fifth Child,Doris Lessing,3.63
Infidel,Ayaan Hirsi Ali,4.2
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,3.53
A Disturbed Girl's Guide to Curing Boredom,James   Howell,3.72
Macbeth,William Shakespeare,3.89
Death of a Salesman,Arthur Miller,3.58
Mein Kampf,Adolf Hitler,3.18
Angela's Ashes: A Memoir of a Childhood,Frank McCourt,4.15
"Porno (Mark Renton, #3)",Irvine Welsh,3.84
The Dice Man,Luke Rhinehart,3.55
Jude the Obscure,Thomas Hardy,3.83
Frisk,Dennis Cooper,3.66
"The Millennium Trilogy (Millennium Trilogy, #1-3)",Stieg Larsson,4.47
The Wave,Todd Strasser,3.61
Sarah's Key,Tatiana de Rosnay,4.18
Insomnia,Stephen        King,3.84
Little Bee,Chris Cleave,3.72
A Disturbed Girl's Redemption,James   Howell,4.49
The Poisonwood Bible,Barbara Kingsolver,4.1
A Stolen Life,Jaycee Dugard,3.96
The Rules of Attraction,Bret Easton Ellis,3.72
Stiff: The Curious Lives of Human Cadavers,Mary Roach,4.07
Audition,Ryū Murakami,3.5
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.83
Ulysses,James Joyce,3.76
The Death of Bunny Munro,Nick Cave,3.44
"Crank (Crank, #1)",Ellen Hopkins,4.16
Middlesex,Jeffrey Eugenides,4.04
Cruddy,Lynda Barry,4.16
The White Hotel,D.M. Thomas,3.84
A Scanner Darkly,Philip K. Dick,4.03
Ubik,Philip K. Dick,4.11
"The Sparrow (The Sparrow, #1)",Mary Doria Russell,4.14
Dark Rooms,Lili Anolik,3.14
Money,Martin Amis,3.7
Moon Palace,Paul Auster,3.98
The Bad Seed,William March,4.01
Survivor,Chuck Palahniuk,3.93
"Splatterpunk: An Extreme Horror Novel (A Glimpse into Hell, #3)",Wade H. Garrett,4.42
The Devil of Nanking,Mo Hayder,3.92
"The Blade Artist (Mark Renton, #4)",Irvine Welsh,3.83
Almost Transparent Blue,Ryū Murakami,3.29
Prozac Nation,Elizabeth Wurtzel,3.63
Needful Things,Stephen        King,3.98
Survivor,J.F. Gonzalez,3.8
4 3 2 1,Paul Auster,3.97
Save Yourself,Kelly Braffet,3.48
Solaris,Stanisław Lem,3.99
Mommie Dearest,Christina Crawford,3.67
Make Room! Make Room!,Harry Harrison,3.71
The Master and Margarita,Mikhail Bulgakov,4.29
Apt Pupil,Stephen        King,3.92
"Psycho (Psycho, #1)",Robert Bloch,4.13
"The Descent (Descent, #1)",Jeff Long,3.94
"The Angel of Death: An Extreme Horror Novel (A Glimpse into Hell, #2)",Wade H. Garrett,4.51
The Elementary Particles,Michel Houellebecq,3.8
Pygmy,Chuck Palahniuk,2.99
Nobody Move,Denis Johnson,3.35
Junky,William S. Burroughs,3.85
Human Cruelty,Wade H. Garrett,4.32
The Running Man,Richard  Bachman,3.9
The Little Match Girl,Hans Christian Andersen,4.1
The Rum Diary,Hunter S. Thompson,3.85
The Comfort of Strangers,Ian McEwan,3.39
The Fall,Albert Camus,4.04
Imperial Bedrooms,Bret Easton Ellis,3.2
The Information,Martin Amis,3.61
"Book of Mormon, Doctrine and Covenants, Pearl of Great Price",The Church of Jesus Christ of Latter-day Saints,4.36
The Marbled Swarm,Dennis Cooper,3.47
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,4.26
Piercing,Ryū Murakami,3.69
Life of Pi,Yann Martel,3.94
"Gone (Gone, #1)",Michael  Grant,3.87
"Memnoch the Devil (The Vampire Chronicles, #5)",Anne Rice,3.76
Blood and Guts in High School,Kathy Acker,3.46
The Mist,Stephen        King,3.94
"The New York Trilogy (New York Trilogy, #1-3)",Paul Auster,3.87
Meat,Joseph D'Lacey,3.87
The Book Thief,Markus Zusak,4.39
The Third Policeman,Flann O'Brien,3.97
"Tropic of Cancer (Tropic, #1)",Henry Miller,3.66
"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,4.39
Coraline,Neil Gaiman,4.13
Nira/Sussa,Julian Darius,3.77
Island,Aldous Huxley,3.85
Cell,Stephen        King,3.66
The Book of Illusions,Paul Auster,3.9
Native Son,Richard Wright,4.03
Pale Fire,Vladimir Nabokov,4.17
A Disturbed Girl Implodes,James   Howell,4.4
The Memory Keeper's Daughter,Kim Edwards,3.7
"Ring (Ring, #1)",Kōji Suzuki,3.79
The Name of the Rose,Umberto Eco,4.14
My Lobotomy: A Memoir,Howard Dully,3.75
Women,Charles Bukowski,3.81
Sold,Patricia McCormick,4.23
Train Dreams,Denis Johnson,3.89
Wintergirls,Laurie Halse Anderson,3.96
The Gargoyle,Andrew  Davidson,3.97
القرآن الكريم,Anonymous,4.38
Intensity,Dean Koontz,4.04
2666,Roberto Bolaño,4.21
Ghost Story,Peter Straub,3.92
Darkness at Noon,Arthur Koestler,4.11
The Heart Is Deceitful Above All Things: Stories,J.T. LeRoy,3.63
"Seeds of Yesterday (Dollanganger, #4)",V.C. Andrews,3.84
The Grifters,Jim Thompson,3.93
"Eclipse (The Twilight Saga, #3)",Stephenie Meyer,3.73
Fall on Your Knees,Ann-Marie MacDonald,3.97
Horns,Joe Hill,3.93
The Drowned World,J.G. Ballard,3.48
The Children Act,Ian McEwan,3.73
"Tiger, Tiger",Margaux Fragoso,3.75
The Perks of Being a Wallflower,Stephen Chbosky,4.23
On the Road,Jack Kerouac,3.61
Nutshell,Ian McEwan,3.68
"The Reckoning: An Extreme Horror Novel (A Glimpse into Hell, # 5)",Wade H. Garrett,4.44
Daddy Love,Joyce Carol Oates,3.44
Memoirs of a Geisha,Arthur Golden,4.16
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.83
Marabou Stork Nightmares,Irvine Welsh,3.92
Madame Bovary,Gustave Flaubert,3.7
"The Rats (Rats, #1)",James Herbert,3.92
Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97
The Sailor Who Fell from Grace with the Sea,Yukio Mishima,3.84
The Stepford Wives,Ira Levin,3.86
My Dark Vanessa,Kate Elizabeth Russell,4.1
"The Summer I Died (The Roger Huntington Saga, #1)",Ryan C. Thomas,3.88
Filthy Movie – The Most Sadistic Short Story on the Market,Wade H. Garrett,3.55
"American Gods (American Gods, #1)",Neil Gaiman,4.11
House of Sand and Fog,Andre Dubus III,3.86
The End of Everything,Megan Abbott,3.35
The Hotel New Hampshire,John Irving,3.93
Queer,William S. Burroughs,3.54
Concrete Island,J.G. Ballard,3.68
Invisible,Paul Auster,3.74
The Pearl,John Steinbeck,3.55
The Bedroom Secrets of the Master Chefs,Irvine Welsh,3.54
"The complete “A Glimpse into Hell” series - 6 books, 215 chapters, 1800 pages, 650K words of pure gore",Wade H. Garrett,4.59
A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,4.16
"The Gulag Archipelago: An Experiment in Literary Investigation, Volume 1",Aleksandr Solzhenitsyn,4.37
Wir Kinder vom Bahnhof Zoo,Christiane V. Felscherinow,4.35
12 Years a Slave,Solomon Northup,4.22
Towelhead,Alicia Erian,3.68
A Simple Plan,Scott        Smith,3.91
The Kindly Ones,Jonathan Littell,4.02
Hell's Angels,Hunter S. Thompson,3.98
"Divergent (Divergent, #1)",Veronica Roth,4.14
Dead Men's Trousers,Irvine Welsh,4.18
The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,4.08
Nausea,Jean-Paul Sartre,3.94
"Infected (Infected, #1)",Scott Sigler,3.83
Falling Leaves,Adeline Yen Mah,3.91
Glue,Irvine Welsh,3.9
Rage,Richard  Bachman,3.72
The Soft Machine (The Nova Trilogy #1),William S. Burroughs,3.44
And Then Run,Eric Hublot,3.49
"The Butterfly Garden  (The Collector, #1)",Dot Hutchison,4.09
Rape: A Love Story,Joyce Carol Oates,3.64
Dracula Usborne Classics Retold,Mike Stocks,4.06
Midnight Sun [2008 Draft],Stephenie Meyer,4.01
The Doors of Perception & Heaven and Hell,Aldous Huxley,3.91
"Books of Blood, Volumes Four to Six (Books of Blood, #4-6)",Clive Barker,4.28
She’s Come Undone,Wally Lamb,3.91
Hunger,Knut Hamsun,4.05
A Head Full of Ghosts,Paul Tremblay,3.79
Tree of Smoke,Denis Johnson,3.6
The Ice Man: Confessions of a Mafia Contract Killer,Philip Carlo,4.15
Invisible Cities,Italo Calvino,4.11
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03
We Were Liars,E. Lockhart,3.66
The Devil's Missal,Cathy Dobson,4.2
We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,Philip Gourevitch,4.22
Jesus’ Son,Denis Johnson,4.12
The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,4.22
Tales of Ordinary Madness,Charles Bukowski,3.85
Adjustment Day,Chuck Palahniuk,3.2
"This Way for the Gas, Ladies and Gentlemen",Tadeusz Borowski,4.12
"Faust, First Part",Johann Wolfgang von Goethe,3.86
Clown Girl,Monica Drake,3.49
If on a Winter’s Night a Traveler,Italo Calvino,4.03
The Day of the Triffids,John Wyndham,4.01
Breakfast of Champions,Kurt Vonnegut Jr.,4.07
Animal Farm / 1984,George Orwell,4.3
"Crime (Ray Lennox, #1)",Irvine Welsh,3.65
Something Wicked This Way Comes,Ray Bradbury,3.9
Stranger in a Strange Land,Robert A. Heinlein,3.92
Mister B. Gone,Clive Barker,3.35
The Castle,Franz Kafka,3.93
The Unwords,Non Nomen,3.66
Things Have Gotten Worse Since We Last Spoke,Eric LaRocca,2.95
The Bachman Books,Richard  Bachman,4.15
Novel with Cocaine,M. Ageyev,3.84
Time's Arrow,Martin Amis,3.76
Ham on Rye,Charles Bukowski,4.14
Invisible Man,Ralph Ellison,3.92
The Minds of Billy Milligan,Daniel Keyes,4.28
Eyewitness Auschwitz: Three Years in the Gas Chambers,Filip Müller,4.28
Howl and Other Poems,Allen Ginsberg,4.13
I'm Thinking of Ending Things,Iain Reid,3.54
The Hellbound Heart,Clive Barker,4.08
Penpal,Dathan Auerbach,3.86
What Is the What,Dave Eggers,4.14
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.12
"One Second After (After, #1)",William R. Forstchen,3.98
The Consumer,Michael Gira,3.71
"The Fourth Monkey (4MK Thriller, #1)",J.D. Barker,4.26
Skeleton Crew,Stephen        King,3.97
The Red Badge of Courage,Stephen Crane,3.29
Big Sur,Jack Kerouac,3.84
Die verlorene Ehre der Katharina Blum,Heinrich Böll,3.69
Notes of a Dirty Old Man,Charles Bukowski,3.92
The Coma,Alex Garland,3.39
Mygale,Thierry Jonquet,3.93
The Dreamers,Gilbert Adair,3.63
The God of Small Things,Arundhati Roy,3.96
"Impulse (Impulse, #1)",Ellen Hopkins,4.26
"Wideacre  (The Wideacre Trilogy, #1)",Philippa Gregory,3.36
"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,3.74
Tobacco Road,Erskine Caldwell,3.71
The Kiss,Kathryn Harrison,3.56
Sickened: The Memoir of a Munchausen by Proxy Childhood,Julie Gregory,3.74
Survival in Auschwitz,Primo Levi,4.34
The Vegetarian,Han Kang,3.63
Still Missing,Chevy Stevens,
Dead Babies,Martin Amis,3.38
Empire of the Senseless,Kathy Acker,3.69
In Search of Captain Zero: A Surfer's Road Trip Beyond the End of the Road,Allan C. Weisbecker,4.12
Dare Me,Megan Abbott,3.24
Suffer the Children,John Saul,3.92
The Almost Moon,Alice Sebold,2.72
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.74
Invitation to a Beheading,Vladimir Nabokov,3.92
Deranged: The Shocking True Story of America's Most Fiendish Killer,Harold Schechter,3.96
Narcopolis,Jeet Thayil,3.44
The Call of the Void,Reece LeResche,4.36
A Good Man Is Hard to Find and Other Stories,Flannery O'Connor,4.17
All the Ugly and Wonderful Things,Bryn Greenwood,3.99
"The Maze Runner (The Maze Runner, #1)",James Dashner,4.05
Diamond Eyes (Mira Chambers #1),A.A. Bell,3.88
The Monster of Florence,Douglas Preston,3.76
Ama,Daniel MacKillican,3.79
The Conspiracy Against the Human Race,Thomas Ligotti,4.03
Tender Morsels,Margo Lanagan,3.59
Her Fearful Symmetry,Audrey Niffenegger,3.27
Angels,Denis Johnson,3.98
"Tropic of Capricorn (Tropic, #2)",Henry Miller,3.81
